# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,0.36929,0.033032,,,0.211714,0.022133,,,0.211714,0.022125
,,,,0.370412,0.0331114,,,0.212501,0.0221785,,,0.212501,0.0221712
,,,,0.371539,0.0331903,,,0.213292,0.0222243,,,0.213292,0.0222178
,,,,0.372668,0.0332689,,,0.214085,0.0222705,,,0.214085,0.0222647
,,,,0.373802,0.033347,,,0.214882,0.0223171,,,0.214882,0.022312
,,,,0.374938,0.0334247,,,0.215681,0.022364,,,0.215681,0.0223596
,,,,0.376078,0.033502,,,0.216483,0.0224113,,,0.216483,0.0224076
,,,,0.377222,0.0335789,,,0.217289,0.0224589,,,0.217289,0.0224559
,,,,0.378369,0.0336553,,,0.218097,0.0225069,,,0.218097,0.0225045
,,,,0.379519,0.0337314,,,0.218908,0.0225553,,,0.218908,0.0225536
,,,,0.380673,0.033807,,,0.219723,0.0226041,,,0.219723,0.022603
,,,,0.38183,0.0338822,,,0.22054,0.0226532,,,0.22054,0.0226527
,,,,0.382991,0.033957,,,0.221361,0.0227027,,,0.221361,0.0227028
,,,,0.384156,0.0340314,,,0.222184,0.0227526,,,0.222184,0.0227533
,,,,0.385324,0.0341054,,,0.223011,0.0228029,,,0.223011,0.0228042
,,,,0.386496,0.034179,,,0.22384,0.0228536,,,0.22384,0.0228554
,,,,0.387671,0.0342521,,,0.224673,0.0229047,,,0.224673,0.022907
,,,,0.38885,0.0343248,,,0.225509,0.0229561,,,0.225509,0.022959
,,,,0.390032,0.0343972,,,0.226348,0.023008,,,0.226348,0.0230114
,,,,0.391218,0.0344691,,,0.22719,0.0230603,,,0.22719,0.0230641
,,,,0.392407,0.0345406,,,0.228035,0.0231129,,,0.228035,0.0231172
,,,,0.3936,0.0346117,,,0.228883,0.023166,,,0.228883,0.0231707
,,,,0.394797,0.0346823,,,0.229735,0.0232194,,,0.229735,0.0232246
,,,,0.395998,0.0347526,,,0.230589,0.0232733,,,0.230589,0.0232789
,,,,0.397202,0.0348225,,,0.231447,0.0233276,,,0.231447,0.0233336
,,,,0.398409,0.0348919,,,0.232308,0.0233822,,,0.232308,0.0233886
,,,,0.399621,0.034961,,,0.233172,0.0234373,,,0.233172,0.0234441
,,,,0.400836,0.0350296,,,0.23404,0.0234928,,,0.23404,0.0234999
,,,,0.402055,0.0350979,,,0.23491,0.0235487,,,0.23491,0.0235561
,,,,0.403277,0.0351657,,,0.235784,0.0236049,,,0.235784,0.0236127
,,,,0.404503,0.0352331,,,0.236661,0.0236616,,,0.236661,0.0236697
,,,,0.405733,0.0353002,,,0.237542,0.0237187,,,0.237542,0.023727
,,,,0.406967,0.0353668,,,0.238426,0.0237762,,,0.238426,0.0237848
,,,,0.408204,0.035433,,,0.239312,0.0238341,,,0.239312,0.0238429
,,,,0.409445,0.0354988,,,0.240203,0.0238924,,,0.240203,0.0239014
,,,,0.41069,0.0355642,,,0.241096,0.023951,,,0.241096,0.0239603
,,,,0.411939,0.0356292,,,0.241993,0.0240101,,,0.241993,0.0240196
,,,,0.413192,0.0356938,,,0.242893,0.0240696,,,0.242893,0.0240793
,,,,0.414448,0.035758,,,0.243797,0.0241294,,,0.243797,0.0241393
,,,,0.415708,0.0358218,,,0.244704,0.0241897,,,0.244704,0.0241997
,,,,0.416972,0.0358852,,,0.245614,0.0242504,,,0.245614,0.0242605
,,,,0.41824,0.0359482,,,0.246528,0.0243114,,,0.246528,0.0243217
,,,,0.419512,0.0360107,,,0.247445,0.0243728,,,0.247445,0.0243833
,,,,0.420787,0.0360729,,,0.248366,0.0244346,,,0.248366,0.0244452
,,,,0.422067,0.0361347,,,0.24929,0.0244968,,,0.24929,0.0245075
,,,,0.42335,0.036196,,,0.250217,0.0245594,,,0.250217,0.0245702
,,,,0.424637,0.036257,,,0.251148,0.0246224,,,0.251148,0.0246332
,,,,0.425928,0.0363176,,,0.252082,0.0246857,,,0.252082,0.0246966
,,,,0.427223,0.0363777,,,0.25302,0.0247494,,,0.25302,0.0247604
,,,,0.428522,0.0364374,,,0.253961,0.0248135,,,0.253961,0.0248245
,,,,0.429825,0.0364968,,,0.254906,0.0248779,,,0.254906,0.024889
,,,,0.431132,0.0365557,,,0.255854,0.0249428,,,0.255854,0.0249539
,,,,0.432443,0.0366142,,,0.256806,0.025008,,,0.256806,0.0250191
,,,,0.433758,0.0366724,,,0.257761,0.0250735,,,0.257761,0.0250847
,,,,0.435077,0.0367301,,,0.25872,0.0251394,,,0.25872,0.0251506
,,,,0.4364,0.0367874,,,0.259683,0.0252057,,,0.259683,0.0252169
,,,,0.437727,0.0368443,,,0.260649,0.0252724,,,0.260649,0.0252835
,,,,0.439058,0.0369007,,,0.261618,0.0253394,,,0.261618,0.0253505
,,,,0.440393,0.0369568,,,0.262592,0.0254067,,,0.262592,0.0254178
,,,,0.441732,0.0370125,,,0.263568,0.0254744,,,0.263568,0.0254855
,,,,0.443075,0.0370677,,,0.264549,0.0255425,,,0.264549,0.0255535
,,,,0.444422,0.0371226,,,0.265533,0.0256109,,,0.265533,0.0256219
,,,,0.445773,0.037177,,,0.266521,0.0256797,,,0.266521,0.0256906
,,,,0.447129,0.037231,,,0.267512,0.0257488,,,0.267512,0.0257597
,,,,0.448488,0.0372846,,,0.268508,0.0258182,,,0.268508,0.025829
,,,,0.449852,0.0373378,,,0.269506,0.025888,,,0.269506,0.0258987
,,,,0.45122,0.0373906,,,0.270509,0.0259581,,,0.270509,0.0259688
,,,,0.452592,0.037443,,,0.271515,0.0260285,,,0.271515,0.0260392
,,,,0.453968,0.0374949,,,0.272525,0.0260993,,,0.272525,0.0261099
,,,,0.455348,0.0375465,,,0.273539,0.0261704,,,0.273539,0.0261809
,,,,0.456733,0.0375976,,,0.274557,0.0262419,,,0.274557,0.0262522
,,,,0.458121,0.0376483,,,0.275578,0.0263136,,,0.275578,0.0263239
,,,,0.459514,0.0376986,,,0.276603,0.0263857,,,0.276603,0.0263958
,,,,0.460912,0.0377485,,,0.277632,0.0264581,,,0.277632,0.0264681
,,,,0.462313,0.0377979,,,0.278665,0.0265308,,,0.278665,0.0265407
,,,,0.463719,0.037847,,,0.279702,0.0266038,,,0.279702,0.0266136
,,,,0.465129,0.0378956,,,0.280742,0.0266772,,,0.280742,0.0266869
,,,,0.466543,0.0379438,,,0.281787,0.0267508,,,0.281787,0.0267604
,,,,0.467961,0.0379916,,,0.282835,0.0268248,,,0.282835,0.0268342
,,,,0.469384,0.038039,,,0.283887,0.026899,,,0.283887,0.0269083
,,,,0.470812,0.038086,,,0.284943,0.0269736,,,0.284943,0.0269827
,,,,0.472243,0.0381326,,,0.286003,0.0270485,,,0.286003,0.0270574
,,,,0.473679,0.0381787,,,0.287067,0.0271236,,,0.287067,0.0271324
,,,,0.475119,0.0382245,,,0.288135,0.0271991,,,0.288135,0.0272077
,,,,0.476564,0.0382698,,,0.289207,0.0272748,,,0.289207,0.0272833
,,,,0.478013,0.0383147,,,0.290283,0.0273508,,,0.290283,0.0273591
,,,,0.479466,0.0383592,,,0.291363,0.0274271,,,0.291363,0.0274352
,,,,0.480924,0.0384033,,,0.292447,0.0275037,,,0.292447,0.0275116
,,,,0.482386,0.038447,,,0.293535,0.0275806,,,0.293535,0.0275883
,,,,0.483853,0.0384903,,,0.294627,0.0276577,,,0.294627,0.0276653
,,,,0.485324,0.0385331,,,0.295723,0.0277352,,,0.295723,0.0277425
,,,,0.4868,0.0385756,,,0.296823,0.0278128,,,0.296823,0.0278199
,,,,0.48828,0.0386177,,,0.297927,0.0278908,,,0.297927,0.0278977
,,,,0.489765,0.0386593,,,0.299035,0.027969,,,0.299035,0.0279757
,,,,0.491254,0.0387006,,,0.300148,0.0280475,,,0.300148,0.0280539
,,,,0.492748,0.0387414,,,0.301264,0.0281262,,,0.301264,0.0281324
,,,,0.494246,0.0387819,,,0.302385,0.0282052,,,0.302385,0.0282111
,,,,0.495749,0.038822,,,0.30351,0.0282844,,,0.30351,0.0282901
,,,,0.497256,0.0388617,,,0.304639,0.0283639,,,0.304639,0.0283694
,,,,0.498768,0.038901,,,0.305772,0.0284436,,,0.305772,0.0284488
,,,,0.500285,0.0389399,,,0.30691,0.0285236,,,0.30691,0.0285285
,,,,0.501806,0.0389784,,,0.308052,0.0286038,,,0.308052,0.0286085
,,,,0.503331,0.0390165,,,0.309198,0.0286843,,,0.309198,0.0286886
,,,,0.504862,0.0390543,,,0.310348,0.0287649,,,0.310348,0.028769
,,,,0.506397,0.0390916,,,0.311502,0.0288458,,,0.311502,0.0288496
