# Strata OUTPUT -- Response -- 25 (Outcrop) -- Shear Strain Time Series -- manual-example\G01000.AT2
# Example site for the manual figures
# Time (s),S-1
4.595,0.00223708
4.6,0.0022436
4.605,0.00231462
4.61,0.00243502
4.615,0.00258051
4.62,0.00272002
4.625,0.0028216
4.63,0.00285917
4.635,0.0028161
4.64,0.0026828
4.645,0.00245425
4.65,0.00212992
4.655,0.00171403
4.66,0.00121818
4.665,0.000662043
4.67,6.81038e-05
4.675,-0.000542604
4.68,-0.00114944
4.685,-0.00173127
4.69,-0.00227036
4.695,-0.0027559
4.7,-0.00318398
4.705,-0.00355761
4.71,-0.00388692
4.715,-0.00418581
4.72,-0.00446805
4.725,-0.0047456
4.73,-0.00502656
4.735,-0.00531268
4.74,-0.00559944
4.745,-0.00587942
4.75,-0.00614603
4.755,-0.00639378
4.76,-0.00661436
4.765,-0.00679326
4.77,-0.00691027
4.775,-0.00694389
4.78,-0.00687855
4.785,-0.00670943
4.79,-0.00644023
4.795,-0.00607871
4.8,-0.00563737
4.805,-0.00513912
4.81,-0.00462041
4.815,-0.00412392
4.82,-0.00368687
4.825,-0.00333541
4.83,-0.00308227
4.835,-0.00292684
4.84,-0.00286444
4.845,-0.00289411
4.85,-0.00301413
4.855,-0.00321344
4.86,-0.00346974
4.865,-0.00375556
4.87,-0.00404444
4.875,-0.00431212
4.88,-0.00453721
4.885,-0.00470378
4.89,-0.00480402
4.895,-0.00483976
4.9,-0.00482014
4.905,-0.0047571
4.91,-0.00466584
4.915,-0.00456684
4.92,-0.00447871
4.925,-0.00440435
4.93,-0.0043243
4.935,-0.00420854
4.94,-0.00404032
4.945,-0.00382765
4.95,-0.00358922
4.955,-0.00333215
4.96,-0.00304539
4.965,-0.00271185
4.97,-0.00232444
4.975,-0.00189159
4.98,-0.00142897
4.985,-0.00094596
4.99,-0.000440315
4.995,9.62419e-05
5,0.000670228
5.005,0.00128272
5.01,0.00192966
5.015,0.00260296
5.02,0.00329183
5.025,0.00398598
5.03,0.00467664
5.035,0.0053524
5.04,0.00599508
5.045,0.00658261
5.05,0.00709864
5.055,0.00753895
5.06,0.00790716
5.065,0.00820578
5.07,0.00843077
5.075,0.00857172
5.08,0.00861642
5.085,0.00855827
5.09,0.00840152
5.095,0.0081577
5.1,0.00783847
5.105,0.00745355
5.11,0.00701227
5.115,0.00652463
5.12,0.00600281
5.125,0.00546373
5.13,0.00492619
5.135,0.00440327
5.14,0.00390151
5.145,0.00342824
5.15,0.00299573
5.155,0.00261678
5.16,0.00229831
5.165,0.00203867
5.17,0.00182483
5.175,0.00162932
5.18,0.00141464
5.185,0.00114464
5.19,0.000796583
5.195,0.000370633
5.2,-0.000113876
5.205,-0.000637524
5.21,-0.00119064
5.215,-0.00176288
5.22,-0.00233063
5.225,-0.00285581
5.23,-0.00329575
5.235,-0.00361583
5.24,-0.00379609
5.245,-0.00383107
5.25,-0.00373102
5.255,-0.00352486
5.26,-0.00325579
5.265,-0.00297051
5.27,-0.00271121
5.275,-0.00251036
5.28,-0.00238687
5.285,-0.00235011
5.29,-0.00240666
5.295,-0.00255661
5.3,-0.00278884
5.305,-0.00308424
5.31,-0.00341747
5.315,-0.00375611
5.32,-0.00406398
5.325,-0.00430794
5.33,-0.00446486
5.335,-0.00452548
5.34,-0.00449393
5.345,-0.00438311
5.35,-0.00420959
5.355,-0.00399191
5.36,-0.00374927
5.365,-0.0034975
5.37,-0.00324713
5.375,-0.00300456
5.38,-0.00277112
5.385,-0.00254166
5.39,-0.0023061
5.395,-0.00205069
5.4,-0.00175798
5.405,-0.00141074
5.41,-0.00100085
5.415,-0.000535628
5.42,-3.52045e-05
5.425,0.000474321
5.43,0.000968052
5.435,0.00143103
5.44,0.00185928
5.445,0.00224918
5.45,0.00259042
5.455,0.00287005
5.46,0.00307852
5.465,0.00321296
5.47,0.00328017
5.475,0.00329678
5.48,0.00328271
5.485,0.00325294
5.49,0.00321474
5.495,0.00317116
5.5,0.00312781
5.505,0.00309469
5.51,0.00307909
5.515,0.00307971
5.52,0.00308997
5.525,0.00310321
5.53,0.00311085
5.535,0.00309859
5.54,0.00304933
5.545,0.00294876
5.55,0.00278863
5.555,0.00257025
5.56,0.00230647
5.565,0.00201831
5.57,0.00172747
5.575,0.00145162
5.58,0.00120697
5.585,0.00101311
5.59,0.00089195
5.595,0.000859735
5.6,0.000920315
5.605,0.00106655
5.61,0.00128284
5.615,0.00154612
5.62,0.00182925
5.625,0.00210264
5.63,0.0023351
5.635,0.00249965
5.64,0.00257886
5.645,0.00256422
5.65,0.00245232
5.655,0.00224347
5.66,0.00194339
5.665,0.0015626
5.67,0.0011125
5.675,0.000605137
5.68,5.57789e-05
5.685,-0.000517279
5.69,-0.0010962
5.695,-0.00166658
5.7,-0.00221616
5.705,-0.00273215
5.71,-0.00320403
5.715,-0.00362968
5.72,-0.00401553
5.725,-0.00437042
5.73,-0.0047027
5.735,-0.00502216
5.74,-0.00533867
5.745,-0.00565564
5.75,-0.00596763
5.755,-0.00626644
5.76,-0.00654843
5.765,-0.0068132
5.77,-0.00705585
5.775,-0.00726373
5.78,-0.00742153
5.785,-0.00751762
5.79,-0.00754715
5.795,-0.00751196
5.8,-0.00741664
5.805,-0.00726318
5.81,-0.00704948
5.815,-0.00677264
5.82,-0.00643268
5.825,-0.00603145
5.83,-0.00556829
5.835,-0.00504047
5.84,-0.00444878
5.845,-0.00380102
5.85,-0.00311099
5.855,-0.00239631
5.86,-0.00167547
5.865,-0.00096373
5.87,-0.000271985
5.875,0.000390723
5.88,0.00101533
5.885,0.00159431
5.89,0.00212466
5.895,0.00260817
5.9,0.00304741
5.905,0.00344224
5.91,0.00379104
5.915,0.00409398
5.92,0.00435324
5.925,0.00457127
5.93,0.00475196
5.935,0.00490212
5.94,0.00502786
5.945,0.0051295
5.95,0.00520217
5.955,0.00524043
5.96,0.0052413
5.965,0.00520552
5.97,0.00513903
5.975,0.0050522
5.98,0.00495389
5.985,0.0048449
5.99,0.00471902
5.995,0.0045697
6,0.00439464
6.005,0.00419634
6.01,0.00397943
6.015,0.00374581
6.02,0.00349265
6.025,0.00321731
6.03,0.00292124
6.035,0.00260798
6.04,0.00228247
6.045,0.00195345
6.05,0.00163295
